"logFC","logCPM","LR","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
-8.19949816511384,4.11261446095341,82.1049978223446,1.2904588466533e-19,3.81885486490112e-15,"2575",NA,NA
-8.57891215872268,3.03297283444243,73.0706407296254,1.2509152918344e-17,1.85091681156278e-13,"13513",NA,NA
-6.38330671666092,2.89711498387956,72.1803293093369,1.96403796998168e-17,1.93739252152226e-13,"26344",NA,NA
-4.19552267953141,4.03080980026957,70.5110305598534,4.57700113607097e-17,2.77268977201047e-13,"23964","Tenm2","teneurin transmembrane protein 2"
-2.78747181556911,4.90474660328111,70.4651461620819,4.68470545738936e-17,2.77268977201047e-13,"25072",NA,NA
-6.13041727560041,4.11807586767535,68.3906894764288,1.34109263579927e-16,6.61449239520128e-13,"22733",NA,NA
-3.8667356070266,4.54710132395672,67.7718854533045,1.83548119939345e-16,6.99860961466403e-13,"2589",NA,NA
-4.1034475550174,5.57946128814115,67.6519663417732,1.95058111762546e-16,6.99860961466403e-13,"26284",NA,NA
-7.00836822711047,2.21814803912964,67.4799008411253,2.12845897786559e-16,6.99860961466403e-13,"18177",NA,NA
-6.58697071546679,3.08334244211053,67.0365504187598,2.66519683139498e-16,7.88711698314716e-13,"6871",NA,NA
-6.2156753791958,3.96709320576825,66.7624221553047,3.06281288456683e-16,8.23980197208967e-13,"25461",NA,NA
-5.15915279884674,3.89895719611389,66.5061810990602,3.48798151630054e-16,8.60165308432348e-13,"9578",NA,NA
-6.09266002822511,0.31951549234793,66.3288548218985,3.81630934009324e-16,8.68738786933688e-13,"12397","Cbfa2t2-ps1","CBFA2/RUNX1 translocation partner 2, pseudogene 1"
-6.30887513802984,2.85665432632879,65.5486092981049,5.66981165439925e-16,1.19847668777598e-12,"25105",NA,NA
-7.80477142644123,4.41626401519786,65.3390927792567,6.30579683580978e-16,1.24404963841412e-12,"21879",NA,NA
-5.53767912961688,2.01602054886157,64.8003188685258,8.28857327577256e-16,1.53302343093711e-12,"2038",NA,NA
-4.4072547852023,4.43835748117999,64.4555155825738,9.87365697776028e-16,1.71877135848741e-12,"23457",NA,NA
-4.4923740407502,3.95740011535145,62.9120520655987,2.16145578444457e-15,3.55355339050379e-12,"13033","Ctsd","cathepsin D"
-3.627654525912,5.3227021642845,62.2551206937359,3.01723372267764e-15,4.68027948789732e-12,"17952","Naip6","NLR family, apoptosis inhibitory protein 6"
-4.27622470181252,4.60253086536889,62.1621469958238,3.16309903551335e-15,4.68027948789732e-12,"22280",NA,NA
-3.91633707628161,4.28195878090243,61.8115943087603,3.77942394709032e-15,5.32592823172589e-12,"2212",NA,NA
-4.71214939423443,2.07577568174459,60.3265158600411,8.0357581725988e-15,1.00566848888457e-11,"26766",NA,NA
-6.37224509674645,1.69564074124071,60.3220088978292,8.05417865203274e-15,1.00566848888457e-11,"5791",NA,NA
-4.27678379145026,1.33141729572009,60.2972812873057,8.15599761201288e-15,1.00566848888457e-11,"23878",NA,NA
-3.29006308772117,5.58670136915274,60.1302180173546,8.87847482838213e-15,1.05096282238525e-11,"22852",NA,NA
-9.92174579794934,-0.0152010672059452,59.6129149948212,1.15474874913736e-14,1.31432614358546e-11,"3771",NA,NA
-10.4020184178954,0.140174644224962,59.531553517858,1.2034894327729e-14,1.31906899200179e-11,"19979",NA,NA
-4.07843985853926,4.46486401543621,59.0505953373407,1.53669452042433e-14,1.62412146224704e-11,"2564",NA,NA
-7.94763455296404,2.66054748826497,58.8990213020327,1.65974753049071e-14,1.69368650585557e-11,"19998",NA,NA
-2.62239151914312,5.94750384318781,58.1055531821216,2.48424050855975e-14,2.41522122565773e-11,"17883","Myh3","myosin, heavy polypeptide 3, skeletal muscle, embryonic"
-2.92262141149796,2.69731009343006,58.0696058290757,2.53005298534753e-14,2.41522122565773e-11,"7557",NA,NA
-3.66496409983625,4.03494225437988,57.9883407379093,2.6367595497874e-14,2.43842579240182e-11,"525",NA,NA
-2.9391779293801,5.8724263542339,57.7096769632571,3.03804522116899e-14,2.70300425709427e-11,"16284","In(4)28Rk-p","inversion, Chr 4, Roderick 28, proximal"
-3.59166310168562,4.06648364572096,57.6664577190643,3.10553660464317e-14,2.70300425709427e-11,"10717",NA,NA
-6.58256134230838,1.36806163489215,57.4548149274211,3.45833551145771e-14,2.92407207973051e-11,"24718",NA,NA
-3.79464036687172,3.34094136025829,57.3220886753488,3.6997666110043e-14,3.04131092554029e-11,"29134",NA,NA
-4.93806865627954,2.53570861655619,57.2080729104694,3.92058571831149e-14,3.135726842216e-11,"27151",NA,NA
-3.2604938601378,6.12066328355485,57.0916375358171,4.1597066494777e-14,3.23942628626299e-11,"21935","Tnfrsf17","tumor necrosis factor receptor superfamily, member 17"
-4.27213067896678,3.6542695078471,56.9066612782475,4.56995249328325e-14,3.40063303815185e-11,"2076",NA,NA
-5.09215098746532,0.278283388454171,56.8952544506406,4.59653707045835e-14,3.40063303815185e-11,"21906","Otop1","otopetrin 1"
-4.28689310283167,3.28241063393063,56.3544813129882,6.05151966688916e-14,4.36786881712807e-11,"9655",NA,NA
-7.10703693335138,5.0137189442435,56.3043506506905,6.20779139050175e-14,4.37398025283615e-11,"26020",NA,NA
-8.24252056785477,2.95259707919287,55.731537768906,8.30748012333896e-14,5.71728509976674e-11,"7134",NA,NA
-3.82627730480172,4.31191481929069,55.5707171409229,9.01566617302947e-14,6.06365020587411e-11,"26027",NA,NA
-3.22441279899781,2.92831317139895,55.4816200529112,9.43369636602827e-14,6.20380836799722e-11,"24085",NA,NA
-4.06582646455193,3.58491456587707,55.3301426156302,1.01894033968836e-13,6.55510901573861e-11,"26069",NA,NA
-3.95079047252121,3.13397209823512,55.2355716279542,1.06916243379803e-13,6.67880974482219e-11,"15492","Hsd3b1","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1"
-4.65327691725492,3.09167855661897,55.2064682545641,1.08511068386254e-13,6.67880974482219e-11,"5853",NA,NA
-3.66156303445153,4.10737578109359,55.1692105511148,1.10587529988946e-13,6.67880974482219e-11,"2462",NA,NA
