"","NGenes","Direction","PValue","FDR"
"REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES",16,"Up",0.00173521723676452,0.999827083089274
"MATZUK_POST-IMPLANTATION_AND_POST-PARTUM",10,"Up",0.00181373856430894,0.999827083089274
"REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE",1,"Up",0.00197812475763609,0.999827083089274
"BIOCARTA_PLATELETAPP_PATHWAY",12,"Down",0.00327665365643669,0.999827083089274
"REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2",13,"Down",0.00588435256128021,0.999827083089274
"VISALA_AGING_LYMPHOCYTE_UP",5,"Up",0.00625815526339435,0.999827083089274
"REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION",10,"Down",0.00637046142885408,0.999827083089274
"PID_INTEGRIN4_PATHWAY",9,"Up",0.00645502385070705,0.999827083089274
"REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION",16,"Up",0.00791915693320677,0.999827083089274
"REACTOME_SIGNALING_BY_FGFR3_MUTANTS",9,"Down",0.00810103006798004,0.999827083089274
"REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION",18,"Down",0.00845684397401783,0.999827083089274
"DUNNE_TARGETS_OF_AML1_MTG8_FUSION_UP",25,"Up",0.00870529505045983,0.999827083089274
"JIANG_CORE_DUPLICON_GENES",1,"Up",0.00912992309269833,0.999827083089274
"WANG_ESOPHAGUS_CANCER_PROGRESSION_UP",6,"Up",0.010402557483072,0.999827083089274
"OHASHI_AURKA_TARGETS",4,"Up",0.0110576813970408,0.999827083089274
"REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION",11,"Down",0.0118478198953597,0.999827083089274
"SARTIPY_NORMAL_AT_INSULIN_RESISTANCE_DN",8,"Up",0.012645635390857,0.999827083089274
"REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING",27,"Down",0.0134820181396236,0.999827083089274
"REACTOME_FRS2_MEDIATED_CASCADE",28,"Down",0.0138020587981174,0.999827083089274
"REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1",9,"Down",0.0148418098277598,0.999827083089274
"REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX",16,"Up",0.0149348727684691,0.999827083089274
"REACTOME_SHC_MEDIATED_CASCADE",24,"Down",0.015006914072455,0.999827083089274
"REACTOME_IRAK1_RECRUITS_IKK_COMPLEX",5,"Up",0.0173384792816856,0.999827083089274
"WANG_RECURRENT_LIVER_CANCER_UP",6,"Up",0.0183472083824191,0.999827083089274
"MIKKELSEN_ES_LCP_WITH_H3K27ME3",6,"Down",0.0191958009308251,0.999827083089274
"ZEMBUTSU_SENSITIVITY_TO_MITOMYCIN",6,"Up",0.0194612209451092,0.999827083089274
"CHESLER_BRAIN_D6MIT150_QTL_CIS",4,"Up",0.0197986147057272,0.999827083089274
"SUZUKI_RESPONSE_TO_TSA_AND_DECITABINE_1A",16,"Up",0.0199090319291907,0.999827083089274
"WILLIAMS_ESR2_TARGETS_UP",8,"Up",0.0200798000662814,0.999827083089274
"REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION",10,"Down",0.0204949274716179,0.999827083089274
"RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_UP",1,"Up",0.0205467398015152,0.999827083089274
"REACTOME_PERK_REGULATED_GENE_EXPRESSION",14,"Up",0.0218555335149767,0.999827083089274
"ABBUD_LIF_SIGNALING_2_DN",5,"Up",0.0222893369387408,0.999827083089274
"IRITANI_MAD1_TARGETS_UP",8,"Up",0.0236337179159666,0.999827083089274
"REACTOME_ACTIVATION_OF_CHAPERONES_BY_ATF6_ALPHA",8,"Up",0.0256658800914167,0.999827083089274
"REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA",8,"Up",0.0256658800914167,0.999827083089274
"ZIRN_TRETINOIN_RESPONSE_UP",11,"Up",0.0256933721556314,0.999827083089274
"YANG_BREAST_CANCER_ESR1_LASER_UP",15,"Down",0.0258718421870438,0.999827083089274
"SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_DN",7,"Up",0.0262322454884383,0.999827083089274
"BIOCARTA_VITCB_PATHWAY",9,"Down",0.0269707596880639,0.999827083089274
"BIOCARTA_FIBRINOLYSIS_PATHWAY",8,"Down",0.0271898406694839,0.999827083089274
"REACTOME_PI3K_CASCADE",41,"Down",0.0272361418625638,0.999827083089274
"SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_DN",17,"Up",0.0275404102067791,0.999827083089274
"CERIBELLI_GENES_INACTIVE_AND_BOUND_BY_NFY",10,"Up",0.0287294104461093,0.999827083089274
"LANDIS_ERBB2_BREAST_TUMORS_65_UP",15,"Down",0.0292862645248767,0.999827083089274
"LINDGREN_BLADDER_CANCER_CLUSTER_2A_UP",5,"Up",0.0299962936065707,0.999827083089274
"REACTOME_PLATELET_CALCIUM_HOMEOSTASIS",11,"Up",0.0312261955359626,0.999827083089274
"BIOCARTA_TFF_PATHWAY",19,"Down",0.031521838171463,0.999827083089274
"KONDO_HYPOXIA",8,"Down",0.0322849081606116,0.999827083089274
"BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN",5,"Down",0.0326710087391829,0.999827083089274
"TOMIDA_LUNG_CANCER_POOR_SURVIVAL",3,"Up",0.0331345754686483,0.999827083089274
"REACTOME_CD28_DEPENDENT_VAV1_PATHWAY",10,"Down",0.0331705383137557,0.999827083089274
"REACTOME_DEFENSINS",10,"Down",0.0338307512693963,0.999827083089274
"MAINA_VHL_TARGETS_DN",13,"Up",0.0340142355250131,0.999827083089274
"KANG_CISPLATIN_RESISTANCE_DN",3,"Down",0.0359796145009232,0.999827083089274
"MILICIC_FAMILIAL_ADENOMATOUS_POLYPOSIS_DN",6,"Up",0.0387465273150448,0.999827083089274
"COLLIS_PRKDC_REGULATORS",10,"Up",0.0400625288499236,0.999827083089274
"YANAGISAWA_LUNG_CANCER_RECURRENCE",4,"Up",0.0404736358234603,0.999827083089274
"ZERBINI_RESPONSE_TO_SULINDAC_DN",4,"Up",0.0414585946775406,0.999827083089274
"IKEDA_MIR133_TARGETS_DN",3,"Down",0.0417387585277134,0.999827083089274
"MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_DN",15,"Down",0.0451335674331744,0.999827083089274
"SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_UP",26,"Up",0.0469113028630371,0.999827083089274
"ABBUD_LIF_SIGNALING_2_UP",11,"Up",0.0475891481731896,0.999827083089274
